No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,Karbo_Clean,Keyword_Semantik,enhanced_corpus_mccbf,corpus_rf
328,thai coconut kari baby corn istimewa,ayam,523,nasi hitam,menu thai coconut curry baby corn deluxe ala yellow fit kitchen rendah kalori dan bergizi,[],,,thai coconut kari baby corn istimewa menu thai coconut curry baby corn deluxe ala yellow fit kitchen rendah kalori dan bergizi,thai coconut kari baby corn istimewa menu thai coconut curry baby corn deluxe ala yellow fit kitchen rendah kalori dan bergizi
329,spageti ayam geprek spesial,ayam,507,nasi hitam,menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,spageti ayam geprek spesial menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,spageti ayam geprek spesial menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi
330,sapi short ribs rendang spesial,sapi,522,nasi putih,menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,protein sapi,sapi short ribs rendang spesial menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein sapi,sapi short ribs rendang spesial menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi
331,mac diet panas spesial istimewa,ayam,526,nasi merah,menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,mac diet panas spesial istimewa menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi merah,mac diet panas spesial istimewa menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi
332,piza fit khas,ayam,525,nasi merah,menu pizza fit signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,piza fit khas menu pizza fit signature ala yellow fit kitchen rendah kalori dan bergizi nasi merah,piza fit khas menu pizza fit signature ala yellow fit kitchen rendah kalori dan bergizi
333,soto betawi ayam,ayam,547,pasta,menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,soto betawi ayam menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,soto betawi ayam menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi
334,ayam soy garlic yangnyeom,ayam,541,nasi hitam,menu chicken soy garlic yangnyeom ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,ayam soy garlic yangnyeom menu chicken soy garlic yangnyeom ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,ayam soy garlic yangnyeom menu chicken soy garlic yangnyeom ala yellow fit kitchen rendah kalori dan bergizi
335,ayam asam manis sehat istimewa,ayam,523,nasi merah,menu ayam asam manis healthy deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam manis,ayam asam manis sehat istimewa menu ayam asam manis healthy deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam manis,ayam asam manis sehat istimewa menu ayam asam manis healthy deluxe ala yellow fit kitchen rendah kalori dan bergizi
336,mac diet panas spesial chef s choice,ayam,549,jagung,menu mac diet panas special chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],jagung,,mac diet panas spesial chef s choice menu mac diet panas special chef s choice ala yellow fit kitchen rendah kalori dan bergizi jagung,mac diet panas spesial chef s choice menu mac diet panas special chef s choice ala yellow fit kitchen rendah kalori dan bergizi
337,udang saus lada hitam chef s choice,sapi,543,pasta,menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi,[],,blackpepper,udang saus lada hitam chef s choice menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi  blackpepper,udang saus lada hitam chef s choice menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi
338,ayam soy garlic yangnyeom yellowfit,ayam,526,pasta,menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,ayam soy garlic yangnyeom yellowfit menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,ayam soy garlic yangnyeom yellowfit menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi
339,piza fit chef s choice,ayam,543,jagung,menu pizza fit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],jagung,,piza fit chef s choice menu pizza fit chef s choice ala yellow fit kitchen rendah kalori dan bergizi jagung,piza fit chef s choice menu pizza fit chef s choice ala yellow fit kitchen rendah kalori dan bergizi
340,panggang ikan mozaru khas,ikan,513,nasi hitam,menu baked fish mozaru signature ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ikan panggang,panggang ikan mozaru khas menu baked fish mozaru signature ala yellow fit kitchen rendah kalori dan bergizi  protein ikan panggang,panggang ikan mozaru khas menu baked fish mozaru signature ala yellow fit kitchen rendah kalori dan bergizi
341,sehat japanese sushi roll,ayam,544,nasi hitam,menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,[],,,sehat japanese sushi roll menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,sehat japanese sushi roll menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi
342,sehat oseng mercon sapi chef s choice,sapi,524,nasi merah,menu healthy oseng mercon sapi chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein sapi,sehat oseng mercon sapi chef s choice menu healthy oseng mercon sapi chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein sapi,sehat oseng mercon sapi chef s choice menu healthy oseng mercon sapi chef s choice ala yellow fit kitchen rendah kalori dan bergizi
343,udang cake thailand saus spesial,ikan,524,nasi kuning,menu prawn cake thailand sauce special ala yellow fit kitchen rendah kalori dan bergizi,[],,,udang cake thailand saus spesial menu prawn cake thailand sauce special ala yellow fit kitchen rendah kalori dan bergizi,udang cake thailand saus spesial menu prawn cake thailand sauce special ala yellow fit kitchen rendah kalori dan bergizi
344,udang cake thailand saus chef s choice,ikan,530,pasta,menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi,[],,,udang cake thailand saus chef s choice menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi,udang cake thailand saus chef s choice menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi
345,panggang ikan mozaru chef s choice,ikan,539,nasi merah,menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ikan panggang,panggang ikan mozaru chef s choice menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ikan panggang,panggang ikan mozaru chef s choice menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi
346,indonesian sapi bakso khas,sapi,518,nasi merah,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi
347,ginger ayam ramen kuroda spesial,ayam,543,nasi merah,menu ginger chicken ramen kuroda special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,ginger ayam ramen kuroda spesial menu ginger chicken ramen kuroda special ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,ginger ayam ramen kuroda spesial menu ginger chicken ramen kuroda special ala yellow fit kitchen rendah kalori dan bergizi
348,sehat oseng mercon sapi yellowfit,sapi,512,nasi putih,menu healthy oseng mercon sapi yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,protein sapi,sehat oseng mercon sapi yellowfit menu healthy oseng mercon sapi yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein sapi,sehat oseng mercon sapi yellowfit menu healthy oseng mercon sapi yellowfit ala yellow fit kitchen rendah kalori dan bergizi
349,japanese sapi teriyaki bread,sapi,527,nasi hitam,menu japanese beef teriyaki bread ala yellow fit kitchen rendah kalori dan bergizi,[],,protein sapi teriyaki,japanese sapi teriyaki bread menu japanese beef teriyaki bread ala yellow fit kitchen rendah kalori dan bergizi  protein sapi teriyaki,japanese sapi teriyaki bread menu japanese beef teriyaki bread ala yellow fit kitchen rendah kalori dan bergizi
350,soto betawi ayam chef s choice,ayam,532,nasi kuning,menu soto betawi ayam chef s choice ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,soto betawi ayam chef s choice menu soto betawi ayam chef s choice ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,soto betawi ayam chef s choice menu soto betawi ayam chef s choice ala yellow fit kitchen rendah kalori dan bergizi
351,thai coconut kari baby corn,ayam,520,nasi merah,menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,thai coconut kari baby corn menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi nasi merah,thai coconut kari baby corn menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi
352,torikatsu ayam ramen spesial,ayam,546,nasi merah,menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,torikatsu ayam ramen spesial menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,torikatsu ayam ramen spesial menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi
353,indonesian sapi bakso spesial,sapi,543,nasi merah,menu indonesian beef bakso special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein sapi,indonesian sapi bakso spesial menu indonesian beef bakso special ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein sapi,indonesian sapi bakso spesial menu indonesian beef bakso special ala yellow fit kitchen rendah kalori dan bergizi
354,sehat oseng mercon sapi yellowfit,sapi,542,pasta,menu healthy oseng mercon sapi yellowfit ala yellow fit kitchen rendah kalori dan bergizi,[],,protein sapi,sehat oseng mercon sapi yellowfit menu healthy oseng mercon sapi yellowfit ala yellow fit kitchen rendah kalori dan bergizi  protein sapi,sehat oseng mercon sapi yellowfit menu healthy oseng mercon sapi yellowfit ala yellow fit kitchen rendah kalori dan bergizi
355,ayam telur okonomiyaki istimewa,ayam,542,nasi putih,menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,protein ayam,ayam telur okonomiyaki istimewa menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein ayam,ayam telur okonomiyaki istimewa menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi
356,indonesian sapi bakso yellowfit,sapi,519,nasi merah,menu indonesian beef bakso yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein sapi,indonesian sapi bakso yellowfit menu indonesian beef bakso yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein sapi,indonesian sapi bakso yellowfit menu indonesian beef bakso yellowfit ala yellow fit kitchen rendah kalori dan bergizi
357,panggang ikan mozaru chef s choice,ikan,517,jagung,menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],jagung,protein ikan panggang,panggang ikan mozaru chef s choice menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi jagung protein ikan panggang,panggang ikan mozaru chef s choice menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi
358,mac diet panas spesial istimewa,ayam,549,nasi putih,menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,,mac diet panas spesial istimewa menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi putih,mac diet panas spesial istimewa menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi
359,ayam truffle meatballs yellowfit,ayam,537,pasta,menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,ayam truffle meatballs yellowfit menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,ayam truffle meatballs yellowfit menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi
360,ayam soy garlic yangnyeom super,ayam,530,jagung,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],jagung,protein ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi jagung protein ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi
361,ayam goreng kunyit khas,ayam,549,pasta,menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam goreng,ayam goreng kunyit khas menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi  protein ayam goreng,ayam goreng kunyit khas menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi
362,khao soi noodle spesial,ayam,549,nasi kuning,menu khao soi noodle special ala yellow fit kitchen rendah kalori dan bergizi,[],,,khao soi noodle spesial menu khao soi noodle special ala yellow fit kitchen rendah kalori dan bergizi,khao soi noodle spesial menu khao soi noodle special ala yellow fit kitchen rendah kalori dan bergizi
363,indonesian sapi bakso super,sapi,541,nasi kuning,menu indonesian beef bakso supreme ala yellow fit kitchen rendah kalori dan bergizi,[],,protein sapi,indonesian sapi bakso super menu indonesian beef bakso supreme ala yellow fit kitchen rendah kalori dan bergizi  protein sapi,indonesian sapi bakso super menu indonesian beef bakso supreme ala yellow fit kitchen rendah kalori dan bergizi
364,udang saus lada hitam chef s choice,sapi,532,nasi kuning,menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi,[],,blackpepper,udang saus lada hitam chef s choice menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi  blackpepper,udang saus lada hitam chef s choice menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi
365,ayam asam manis sehat chef s choice,ayam,543,nasi merah,menu ayam asam manis healthy chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam manis,ayam asam manis sehat chef s choice menu ayam asam manis healthy chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam manis,ayam asam manis sehat chef s choice menu ayam asam manis healthy chef s choice ala yellow fit kitchen rendah kalori dan bergizi
366,ayam soy garlic yangnyeom yellowfit,ayam,543,nasi merah,menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,ayam soy garlic yangnyeom yellowfit menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,ayam soy garlic yangnyeom yellowfit menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi
