No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf
295,Soto Ayam Spesial Spesial,ayam,351,kentang nasi merah nasi putih,menu soto ayam spesial spesial yang sehat dan lezat,"['nasi', 'putih', 'kentang', 'merah']",soto ayam spesial spesial ayam kentang nasi merah nasi putih menu soto ayam spesial spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih",soto ayam spesial spesial,menu soto ayam spesial spesial yang sehat dan lezat,protein_ayam,soto ayam spesial spesial ayam merah putih kentang nasi menu soto ayam spesial spesial yang sehat dan lezat protein_ayam,soto ayam spesial spesial menu soto ayam spesial spesial yang sehat dan lezat nasi putih kentang merah protein_ayam,soto ayam spesial spesial menu soto ayam spesial spesial yang sehat dan lezat
296,Sei Sapi Dengan Potatoes Diet,sapi,368,jagung nasi merah nasi putih,menu sei sapi with potatoes diet yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",sei sapi with potatoes diet sapi jagung nasi merah nasi putih menu sei sapi with potatoes diet yang sehat dan lezat,"jagung, nasi merah, nasi putih",sei sapi dengan potatoes diet,menu sei sapi with potatoes diet yang sehat dan lezat,protein_sapi,sei sapi dengan potatoes diet sapi jagung putih nasi merah menu sei sapi with potatoes diet yang sehat dan lezat protein_sapi,sei sapi dengan potatoes diet menu sei sapi with potatoes diet yang sehat dan lezat nasi putih jagung merah protein_sapi,sei sapi dengan potatoes diet menu sei sapi with potatoes diet yang sehat dan lezat
297,Sei Sapi Dengan Lemonilo Premium,sapi,427,kentang ubi nasi merah nasi putih,menu sei sapi with lemonilo premium yang sehat dan lezat,"['nasi', 'merah', 'ubi', 'putih', 'kentang']",sei sapi with lemonilo premium sapi kentang ubi nasi merah nasi putih menu sei sapi with lemonilo premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih",sei sapi dengan lemonilo premium,menu sei sapi with lemonilo premium yang sehat dan lezat,protein_sapi,sei sapi dengan lemonilo premium sapi kentang putih nasi ubi merah menu sei sapi with lemonilo premium yang sehat dan lezat protein_sapi,sei sapi dengan lemonilo premium menu sei sapi with lemonilo premium yang sehat dan lezat nasi merah ubi putih kentang protein_sapi,sei sapi dengan lemonilo premium menu sei sapi with lemonilo premium yang sehat dan lezat
298,Ayam Rempah Panggang Telur Tortila Mangkuk,ayam,419,jagung nasi merah nasi putih,menu chicken herbs grill egg tortila bowl yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",chicken herbs grill egg tortila bowl ayam jagung nasi merah nasi putih menu chicken herbs grill egg tortila bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih",ayam rempah panggang telur tortila mangkuk,menu chicken herbs grill egg tortila bowl yang sehat dan lezat,protein_ayam panggang,ayam rempah panggang telur tortila mangkuk ayam jagung putih nasi merah menu chicken herbs grill egg tortila bowl yang sehat dan lezat protein_ayam,ayam rempah panggang telur tortila mangkuk menu chicken herbs grill egg tortila bowl yang sehat dan lezat nasi putih jagung merah protein_ayam panggang,ayam rempah panggang telur tortila mangkuk menu chicken herbs grill egg tortila bowl yang sehat dan lezat
299,Sei Ayam Dengan Potatoes Premium,ayam,391,jagung nasi merah kentang,menu sei ayam with potatoes premium yang sehat dan lezat,"['nasi', 'kentang', 'jagung', 'merah']",sei ayam with potatoes premium ayam jagung nasi merah kentang menu sei ayam with potatoes premium yang sehat dan lezat,"jagung, nasi merah, kentang",sei ayam dengan potatoes premium,menu sei ayam with potatoes premium yang sehat dan lezat,protein_ayam,sei ayam dengan potatoes premium ayam jagung kentang nasi merah menu sei ayam with potatoes premium yang sehat dan lezat protein_ayam,sei ayam dengan potatoes premium menu sei ayam with potatoes premium yang sehat dan lezat nasi kentang jagung merah protein_ayam,sei ayam dengan potatoes premium menu sei ayam with potatoes premium yang sehat dan lezat
300,Ikan Stik Saus Wijen Premium,ikan,360,jagung nasi merah nasi putih,menu fish stick saus wijen premium yang sehat dan lezat,"['nasi', 'putih', 'jagung', 'merah']",fish stick saus wijen premium ikan jagung nasi merah nasi putih menu fish stick saus wijen premium yang sehat dan lezat,"jagung, nasi merah, nasi putih",ikan stik saus wijen premium,menu fish stick saus wijen premium yang sehat dan lezat,protein_ikan,ikan stik saus wijen premium ikan jagung putih nasi merah menu fish stick saus wijen premium yang sehat dan lezat protein_ikan,ikan stik saus wijen premium menu fish stick saus wijen premium yang sehat dan lezat nasi putih jagung merah protein_ikan,ikan stik saus wijen premium menu fish stick saus wijen premium yang sehat dan lezat
301,Spageti Ayam Geprek,ayam,548,pasta,menu spaghetti ayam geprek ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],spaghetti ayam geprek ayam pasta menu spaghetti ayam geprek ala yellow fit kitchen rendah kalori dan bergizi,pasta,spageti ayam geprek,menu spaghetti ayam geprek ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,spageti ayam geprek ayam pasta menu spaghetti ayam geprek ala yellow fit kitchen rendah kalori dan bergizi protein_ayam,spageti ayam geprek menu spaghetti ayam geprek ala yellow fit kitchen rendah kalori dan bergizi pasta protein_ayam,spageti ayam geprek menu spaghetti ayam geprek ala yellow fit kitchen rendah kalori dan bergizi
302,Sehat Japanese Sushi Roll,ayam,546,nasi merah,menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",healthy japanese sushi roll lainnya nasi merah menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,sehat japanese sushi roll,menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,,sehat japanese sushi roll ayam merah nasi menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi ,sehat japanese sushi roll menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,sehat japanese sushi roll menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi
303,Telur Mata Sapi Balado Spesial,sapi,527,pasta,menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],telur mata sapi balado special lainnya pasta menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,pasta,telur mata sapi balado spesial,menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,protein_sapi,telur mata sapi balado spesial sapi pasta menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi protein_sapi,telur mata sapi balado spesial menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi pasta protein_sapi,telur mata sapi balado spesial menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi
304,Salmon Red Thai Kari Yellowfit,ikan,538,pasta,menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],salmon red thai curry yellowfit ikan pasta menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi,pasta,salmon red thai kari yellowfit,menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi,protein_ikan,salmon red thai kari yellowfit ikan pasta menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi protein_ikan,salmon red thai kari yellowfit menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi pasta protein_ikan,salmon red thai kari yellowfit menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi
305,Ayam Asam Manis Sehat,ayam,536,nasi merah,menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",ayam asam manis healthy ayam nasi merah menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,ayam asam manis sehat,menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam manis,ayam asam manis sehat ayam merah nasi menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi protein_ayam manis,ayam asam manis sehat menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam manis,ayam asam manis sehat menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi
306,Piza Fit,ayam,527,pasta,menu pizza fit ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],pizza fit lainnya pasta menu pizza fit ala yellow fit kitchen rendah kalori dan bergizi,pasta,piza fit,menu pizza fit ala yellow fit kitchen rendah kalori dan bergizi,,piza fit ayam pasta menu pizza fit ala yellow fit kitchen rendah kalori dan bergizi ,piza fit menu pizza fit ala yellow fit kitchen rendah kalori dan bergizi pasta ,piza fit menu pizza fit ala yellow fit kitchen rendah kalori dan bergizi
307,Ayam Goreng Kunyit,ayam,509,nasi merah,menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",ayam goreng kunyit ayam nasi merah menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,ayam goreng kunyit,menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam goreng,ayam goreng kunyit ayam merah nasi menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi protein_ayam goreng,ayam goreng kunyit menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam goreng,ayam goreng kunyit menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi
308,Ayam Goreng Kunyit Yellowfit,ayam,517,jagung,menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],ayam goreng kunyit yellowfit ayam jagung menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi,jagung,ayam goreng kunyit yellowfit,menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam goreng,ayam goreng kunyit yellowfit ayam jagung menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi protein_ayam goreng,ayam goreng kunyit yellowfit menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi jagung protein_ayam goreng,ayam goreng kunyit yellowfit menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi
309,Khao Soi Noodle Super,ayam,471,jagung,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],khao soi noodle supreme lainnya jagung menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,jagung,khao soi noodle super,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,,khao soi noodle super ayam jagung menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi ,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi jagung ,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi
310,Ayam Soy Garlic Yangnyeom Super,ayam,544,nasi merah,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",chicken soy garlic yangnyeom supreme ayam nasi merah menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,ayam soy garlic yangnyeom super,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,ayam soy garlic yangnyeom super ayam merah nasi menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi protein_ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi
311,Udang Cake Thailand Saus,ikan,536,nasi merah,menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",prawn cake thailand sauce ikan nasi merah menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,udang cake thailand saus,menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,,udang cake thailand saus ikan merah nasi menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi ,udang cake thailand saus menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,udang cake thailand saus menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi
312,Opor Susu Legenda Istimewa,ayam,451,nasi putih,menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'putih']",opor susu legenda deluxe lainnya nasi putih menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi putih,opor susu legenda istimewa,menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,,opor susu legenda istimewa ayam putih nasi menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi ,opor susu legenda istimewa menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi putih ,opor susu legenda istimewa menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi
313,Mac Diet Panas Spesial,ayam,527,nasi merah,menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",mac diet panas special lainnya nasi merah menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,mac diet panas spesial,menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi,,mac diet panas spesial ayam merah nasi menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi ,mac diet panas spesial menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,mac diet panas spesial menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi
314,Sehat Oseng Mercon Sapi,sapi,507,nasi hitam,menu healthy oseng mercon sapi ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'hitam']",healthy oseng mercon sapi sapi nasi hitam menu healthy oseng mercon sapi ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam,sehat oseng mercon sapi,menu healthy oseng mercon sapi ala yellow fit kitchen rendah kalori dan bergizi,protein_sapi,sehat oseng mercon sapi sapi hitam nasi menu healthy oseng mercon sapi ala yellow fit kitchen rendah kalori dan bergizi protein_sapi,sehat oseng mercon sapi menu healthy oseng mercon sapi ala yellow fit kitchen rendah kalori dan bergizi nasi hitam protein_sapi,sehat oseng mercon sapi menu healthy oseng mercon sapi ala yellow fit kitchen rendah kalori dan bergizi
315,Panggang Ikan Mozaru,ikan,537,pasta,menu baked fish mozaru ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],baked fish mozaru ikan pasta menu baked fish mozaru ala yellow fit kitchen rendah kalori dan bergizi,pasta,panggang ikan mozaru,menu baked fish mozaru ala yellow fit kitchen rendah kalori dan bergizi,protein_ikan panggang,panggang ikan mozaru ikan pasta menu baked fish mozaru ala yellow fit kitchen rendah kalori dan bergizi protein_ikan,panggang ikan mozaru menu baked fish mozaru ala yellow fit kitchen rendah kalori dan bergizi pasta protein_ikan panggang,panggang ikan mozaru menu baked fish mozaru ala yellow fit kitchen rendah kalori dan bergizi
316,Thai Coconut Kari Baby Corn Chef S Choice,ayam,549,jagung,menu thai coconut curry baby corn chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],thai coconut curry baby corn chef s choice lainnya jagung menu thai coconut curry baby corn chef s choice ala yellow fit kitchen rendah kalori dan bergizi,jagung,thai coconut kari baby corn chef s choice,menu thai coconut curry baby corn chef s choice ala yellow fit kitchen rendah kalori dan bergizi,,thai coconut kari baby corn chef s choice ayam jagung menu thai coconut curry baby corn chef s choice ala yellow fit kitchen rendah kalori dan bergizi ,thai coconut kari baby corn chef s choice menu thai coconut curry baby corn chef s choice ala yellow fit kitchen rendah kalori dan bergizi jagung ,thai coconut kari baby corn chef s choice menu thai coconut curry baby corn chef s choice ala yellow fit kitchen rendah kalori dan bergizi
